comment,replies,user_name,date
"Dear Ritesh, Oyo hotels are engaging in fraudulent, unethical and anti-customer practices.",[],@noahark3984,2024-02-03T08:27:29Z
"After watching this episode, ""Touching Peyush's feet and following his life rules"" is one my goal from now. Lots of Love to you Peyushâ¤... Charity First, Business Next...",[],@satyam_sp_06,2024-02-03T08:14:36Z
aman say India me vc ki kami he but pehle un logo logo starting me face kesa banaya tha 10:26 co. Founder right,[],@warriordk2127,2024-02-03T07:59:51Z
Why sasta tony stark is seriousğŸ˜…,[],@prakashvarma100,2024-02-03T07:57:07Z
Product is amazing â¤â¤,[],@warriordk2127,2024-02-03T07:56:51Z
Yaha pe shark bas investment pe return chahte hai...only piyush know how to help..,[],@Memoriesofgame,2024-02-03T07:46:58Z
Piyush is a genuine shark,[],@adityajain3892,2024-02-03T07:45:49Z
"every shark has some best qualities  but piyush is not looking for business he looks for the cause ,problem in society my respect for piyush is next level shark  dhanda toh hoga but bring a good change sabke dimaag mei nahi hota",[],@arunkumartiwari4570,2024-02-03T07:40:54Z
Piyush and Ritesh love u sir â¤,[],@MarketWatch24,2024-02-03T07:40:45Z
India me VC bas return dekhte hai..,[],@Memoriesofgame,2024-02-03T07:38:45Z
boat ab hawa mai ud raha hai,[],@vanshgandhi6293,2024-02-03T07:33:10Z
Sabse jyada paisa to lenskart ke pas hai bhai,[],@ghadarsh1890,2024-02-03T07:28:00Z
"""Wyld"" initial stage company ko sab sharks ne dil khol ke offer diya ..ye samaj ke bahar hai ...aur yaha sab out hue easily wahhhhhhhh..pta nahi kya jhol haiğŸ˜‚",[],@chachachaudhary6635,2024-02-03T07:27:46Z
"people making just another relabelled cream shampoo chinese earphone are making fun of patented tech being valued at 250 crore! lol, Bitter, definitely not sugary :P",[],@atanuroy8405,2024-02-03T07:11:59Z
Piyush is the whale,[],@apoorvtripathi09091988,2024-02-03T07:04:29Z
Reality check deaf people don't want any hearing aid ğŸ˜‚ why nobody ask them what they wantğŸ˜‚,[],@MahiGupta-wj1kj,2024-02-03T06:39:33Z
Piyush is such a great investor he listens calmly and waits for his turn and invests smartly.,[],@abhishekmishra5936,2024-02-03T06:39:30Z
Next ratan tata  piyush real hero,[],@surajkhatal9765,2024-02-03T06:09:59Z
Ritesh is so humble his way of speaking is so good.,[],@Ash-xd3ii,2024-02-03T06:09:50Z
peyush knows that this business has potential it will spread in india,[],@rakshitbharadwaj7238,2024-02-03T06:04:27Z
Peyush is very smart. Kuch ni hua toh patent bechkr bhi unka paisa return ho jayega.ğŸ˜…,[],@subhamagarwal1872,2024-02-03T06:02:33Z
peyush is best shark,[],@rakshitbharadwaj7238,2024-02-03T06:02:31Z
"""India has to be a big focus for you"" ğŸ”¥ğŸ”¥ peyush killed with this lineğŸ”¥",[],@PriyamGarg-eh6oz,2024-02-03T05:54:57Z
Piyush ko chuna lga diya ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,[],@minato4211,2024-02-03T05:51:11Z
Namita can't come today so from her side i am out,[],@user-dx9zy1gh2i,2024-02-03T05:48:33Z
Piyush is a real shark âœ¨,[],@user-qw5cd5qj2j,2024-02-03T05:45:17Z
"10:19 anupam bolta h India main bhi h investor, sabse pahle 12:52 wo hi out hote h
*pata chal gya anupam,  india main kyun funding nhi ho pati",[],@vikibajya1402,2024-02-03T05:36:49Z
A product that actually solves a real world problem.,[],@skybluelearner4198,2024-02-03T05:19:30Z
https://www.youtube.com/channel/UCR7rJ0OZq8EUNNheOHq8D1g,[],@shivalay15,2024-02-03T05:01:59Z
https://www.youtube.com/channel/UCR7rJ0OZq8EUNNheOHq8D1g,[],@shivalay15,2024-02-03T05:01:48Z
https://www.youtube.com/channel/UCR7rJ0OZq8EUNNheOHq8D1g,[],@shivalay15,2024-02-03T05:01:32Z
https://www.youtube.com/channel/UCR7rJ0OZq8EUNNheOHq8D1g,[],@shivalay15,2024-02-03T05:01:18Z
Sb to shi hai lekin ye Aman gupta watch wrist pr na phn kr hteli pr q phna h.. amir log whi pr phnte h kya,[],@user-wu3ih5zl7j,2024-02-03T04:53:08Z
Loved it ğŸ’¯,[],@ankitpathak2939,2024-02-03T04:34:49Z
Aman is insecure when someone comes with hearing devices. Boat is ghatiya chinese maal brand.,[],@ujwalmokashi6702,2024-02-03T04:32:20Z
Piyush k liye respect ğŸ™,[],@pawanchetia4649,2024-02-03T04:05:50Z
My favourite shark is piyush ğŸ’,[],@malikathar6805,2024-02-03T04:00:14Z
Anuman mittal sir à¤®à¥à¤à¥‡ à¤²à¤—à¤¾ à¤°à¤¹à¤¾ à¤¹à¥ˆ à¤•à¥€ à¤†à¤ªà¤•à¥‹ à¤¨à¥‰à¤²à¥‡à¤œ à¤•à¥€ à¤•à¤®à¥€ à¤¹à¥ˆ à¤•à¤­à¥€ à¤†à¤ª face to face à¤¬à¥ˆà¤ à¥‡ à¤¤à¥‹ à¤®à¥ˆà¤‚ à¤†à¤ªà¤•à¥‹ à¤¥à¥‹à¤¡à¤¼à¤¾ à¤¨à¥‰à¤²à¥‡à¤œ à¤¦à¥‚ à¤†à¤ª à¤…à¤®à¥‡à¤°à¤¿à¤•à¤¾ à¤®à¥‡à¤‚ à¤°à¤¹à¤¤à¥‡ à¤¹à¥ˆ à¤•à¥à¤¯à¤¾ à¤¹à¤®à¤¾à¤°à¤¾ à¤‡à¤‚à¤¡à¤¿à¤¯à¤¾ à¤à¤• à¤à¤¸à¤¾ à¤¦à¥‡à¤¶ à¤¹à¥ˆ à¤•à¥€ à¤…à¤¬ à¤®à¥ˆà¤‚ à¤•à¥à¤¯à¤¾ à¤¬à¤¤à¤¾à¤Šà¤‚ à¤…à¤ªà¤¨à¤¾ à¤¹à¥€ à¤ªà¥ˆà¤¸à¤¾ à¤¬à¥ˆà¤‚à¤•  à¤¸à¥‡ à¤¸à¤®à¤¯ à¤¸à¥‡ à¤¨à¤¿à¤•à¤² à¤¨à¤¹à¥€ à¤ªà¤¾à¤“à¤—à¥‡ à¤œà¤¬  à¤•à¤­à¥€ à¤¬à¥ˆà¤‚à¤• à¤¸à¥‡ à¤ªà¥ˆà¤¸à¥‡ à¤¨à¤¿à¤•à¤¾à¤²à¤¨à¥‡ à¤œà¤¾à¤“à¤—à¥‡ à¤¤à¥‹ à¤¬à¥‹à¤²à¥‡à¤‚à¤—à¥‡ à¤ªà¥ˆà¤¸à¤¾ à¤¨à¤¹à¥€ à¤¹à¥ˆ à¤•à¤² à¤†à¤¨à¤¾ à¤¬à¥ˆà¤‚à¤• à¤•à¤¾ à¤¸à¤°à¥à¤µà¤° à¤¨à¤¹à¥€ à¤šà¤² à¤°à¤¹à¤¾ à¤¹à¥ˆ à¤•à¤² à¤†à¤¨à¤¾  à¤¤à¥à¤®à¥à¤¹à¤¾à¤°à¥‡ account à¤•à¥‡à¤µà¤¾à¤ˆà¤¸à¥€ à¤¨à¤¹à¥€ à¤•à¤² à¤†à¤¨à¤¾ à¤¯à¥‡ à¤¹à¤¾à¤² à¤¹à¥ˆ à¤¹à¤®à¤¾à¤°à¥‡ à¤¯à¤¹à¤¾à¤‚ à¤•à¤¾ à¤”à¤° anumap mittal ji,[],@user-em8ou7ef6y,2024-02-03T03:57:02Z
"Piyush knows he has all the money he could ever asked for, now he mostly invest in profit making companies or good people",[],@himanshuagarwal4492,2024-02-03T03:30:17Z
Ye log kya Shark bnega re baba 250 cr ka valuation nahi de sakte ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,[],@anilbhojpuri7010,2024-02-03T03:23:43Z
"Good deal,CONGRATULATIONS ğŸ‘ ğŸ‘",[],@kamleshshah1045,2024-02-03T03:16:02Z
Ye device Completely deaf from birth k liye kaam dega kya?,[],@aspirant8704,2024-02-03T02:57:50Z
Its like hammer episode... Aman bhai ko Dekho,[],@A_AZZI,2024-02-03T01:36:32Z
Piyush sir is real indian investor ğŸ«¡ . This types of people increase reputation of India.,[],@KuldeepDamor-vo5hy,2024-02-03T01:33:38Z
"Vineeta you are not there to disrespect anyone if don't want to offer him just leave, waise bhi you have expertise to go out if any business in loss, you just focus on which business is in profit then you invest usko bhi lootne ka dekhti ho.

Actually you are not shark, it just you are women coz of this you are there",[],@vaibhawkale7906,2024-02-03T01:30:08Z
"Ab hum baat karte haiğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
Peeyush Lit it up right there",[],@kirangouda7580,2024-02-03T01:25:21Z
Vision = Piyush ğŸ”¥,[],@priyankasingh-4,2024-02-03T01:13:12Z
Chaliye ab hum baat karte haiâ¤ï¸ğŸ”¥,['Kon piyush ğŸ˜‚ğŸ˜‚'],@priyankasingh-4,2024-02-03T01:11:13Z
Piyush â™¥ï¸ğŸ”¥,[],@priyankasingh-4,2024-02-03T01:10:10Z
Piyush is genius and very kind shark.,[],@AnalyticsDX,2024-02-02T23:21:41Z
He is a loser @aman gupta,[],@ummermir4095,2024-02-02T23:20:35Z
Next month aman launching similarly product ğŸ˜…,[],@foodieshiv5567,2024-02-02T22:36:52Z
Abhi Peyush loot gaya ğŸ˜‚ğŸ˜‚ğŸ˜‚.,[],@DigiVerd,2024-02-02T22:04:50Z
piyush is always there for noble cause,[],@Kartik..Choudhary,2024-02-02T22:02:16Z
tbh 80k is also too much for us like middle class family.,[],@Robin-bv7jm,2024-02-02T21:41:06Z
Peyush is genius â¤,[],@adilahmadkhan9377,2024-02-02T21:38:33Z
Now aman got scared...ğŸ˜‚ğŸ˜‚,[],@MRSPIDY-7,2024-02-02T21:16:59Z
The way piyush said chalie ab hum baat jarte haii.... 14:25,[],@pranavkashyap9503,2024-02-02T21:12:45Z
"Piyush Salute
ğŸ«¡ğŸ«¡ğŸ«¡ğŸ«¡ğŸ«¡",[],@ishika3996,2024-02-02T21:10:20Z
Piyush always won our â¤ï¸ ||| He is not only investor or Business man but He is a most kind hearted,[],@disneyprincess1132,2024-02-02T21:01:37Z
they should make normal tws as well and make aman's boat sweatğŸ¤£,[],@ved5243,2024-02-02T20:47:31Z
"This is really disappointing that being a Businessman you are first who is  ignoring Healthcare sector which is fastest going sector in India, moreover little knowledge from the technical end & low domestic market which I being a business centric person could simply ignore the fact. We have weak economy & affording this kind of product might be difficult & these guys do have their International market. What I feel is if the product is so revolutionary why Audiologist haven't given larger recommendation.",[],@ankursharma7812,2024-02-02T20:26:57Z
Respect for Piyush ğŸ˜®ğŸ˜®,[],@PUNITSHARMA-fx3qh,2024-02-02T20:23:47Z
"Piyush reaction on - ab hum bat karte he is like ho gaya tum sab ka? Kar liya natak jo karna tha? 

And this over-smart person always trying to take attention but jab tak piyush he tab tak ye log kabhi usse nahi jit sakte",[],@adityadavda,2024-02-02T20:12:56Z
Anupam be like indian vc ke pas nhi gye. Try kar liya usne 4 fishes said no exceot 1 shark,[],@rockysingh9456,2024-02-02T20:02:07Z
if piyush is going to comply all things with glases to it can become a great Revolution .......... we all are losing our Audibility in terms of frequencies if we can solve it can become a product product USP .............................. comment back only if anyone getting P.O.V.,[],@agnosticismlove,2024-02-02T19:53:23Z
Kya jirrr rasta nikala Gujju bhai ne ğŸ˜‚ğŸ˜‚ğŸ˜‚ funding kaha kaha s3 utha rahe hai ğŸ˜‚ğŸ˜‚,[],@menishraj2235,2024-02-02T19:51:52Z
Integral Ko mat rakho setting,[],@user-fg7lz1mq3m,2024-02-02T19:43:46Z
Sony TV se darkhast hai ki,[],@user-fg7lz1mq3m,2024-02-02T19:43:18Z
I think no body can relate to the problem except pyush because others are selling product where as pyush lenskart solving problem,[],@cyberking250,2024-02-02T19:41:14Z
Why do I feel Ritesh looks like Bo from Shinchan ğŸ˜…ğŸ˜…,[],@divya0108,2024-02-02T19:39:49Z
Dil jit liyaa mera bhi ear sahi nahi hai mai kama ke lunga ye device this year ğŸ˜ŠğŸ˜ŠğŸ˜Š,[],@p_short369,2024-02-02T19:38:09Z
Only Aman told the truth that they cannot afford the valuation of 250croreğŸ˜‚ğŸ˜‚,[],@martialgamingyt1860,2024-02-02T19:38:01Z
Piyush is gentleman,[],@kenchattys6733,2024-02-02T19:33:31Z
10 Yr phir chota Number Piyush is real shark and very humble.,[],@sureshrana3579,2024-02-02T19:30:10Z
Piyush is real sharkğŸ”¥ğŸ”¥alaways come with startup who help for needy people,[],@RohitPatil-tu6he,2024-02-02T19:27:11Z
Ashneer ke bina bilkul phika,[],@user-sw9uz6cl1y,2024-02-02T19:16:56Z
"mein anupam se sehmat hun, gar inka product itna hi acha hai aur purre world mein sirf inke pass yeh techno hai toh phirabhi tak inki company ko globally recognise kyoun nahi kiya gaya, bhaut jayda doubtful lagta hai product and there could be a different reason for its unknowing",[],@user-qd8ld1fe8v,2024-02-02T19:16:33Z
Piyush Sir â¤,[],@pritam8018,2024-02-02T19:15:35Z
"it seems it is a simple bone conductor headphone, thats it....",[],@user-gq8pz7su6e,2024-02-02T19:08:19Z
Abhi koi aachaar leke aa jaye toh ye sab paise deneko tayar ho jayenge,[],@vicranttangde6711,2024-02-02T19:06:07Z
Peyush is my favourite shark â¤â¤â¤,[],@Chandanmanikpuri2197,2024-02-02T19:02:17Z
Aman ka muh utr gyağŸ˜…ğŸ˜‚,[],@surbhisharma4026,2024-02-02T19:02:03Z
â€œab hum baat karte hainâ€,[],@charansidhu9,2024-02-02T18:59:52Z
Khadoos Anupam ğŸ˜‚,[],@ashifahmed9935,2024-02-02T18:59:21Z
Piyush bohot age jayega risk leta hai bhai â¤â¤,[],@dipakmanaskar1921,2024-02-02T18:57:33Z
Peyush has the kindest heart,[],@minilakdawala138,2024-02-02T18:52:22Z
only piyush bhai rest are useless mostly anupam once he heared valuation then started looking for reasons to out.,[],@Pankaj_w27,2024-02-02T18:49:48Z
Piyush is real hero he don't see his profit he wants to bring revolution,[],@karanbadhai98,2024-02-02T18:49:39Z
Ok ğŸ†—,[],@LingJokes,2024-02-02T18:46:35Z
Agar isko offer nahi milti na! To to lanat thi shark tank pe ! But Piyudh op â¤â¤,[],@MeetParmar-Uwu78,2024-02-02T18:43:53Z
Product dekhte hi samajhgaya ye deal Piyush hi lega. Baaki sabko equity se matlab hai... Someone look at Aman's face.,[],@sayedsshahid,2024-02-02T18:38:27Z
I am a special educator n i am so proud to see people actually thought of caring about this sector,[],@sangeetachakroberty5340,2024-02-02T18:30:35Z
Piyush is a real shark ğŸ¦ˆ,[],@Simmu.Thakur-84,2024-02-02T18:26:06Z
Me watching this while wearing boAt headphones ğŸ˜‚â¤,[],@MeetParmar-Uwu78,2024-02-02T18:26:01Z
Piyush â¤â¤â¤â¤ This man is a superman without a cape ğŸ§¿ğŸ§¿,[],@romakukreja36,2024-02-02T18:25:13Z
Why anupam is so cocky ğŸ˜‚,[],@dktimes7080,2024-02-02T18:19:00Z
Piyush stole the pitch in last 2 mins... mind-blowing,[],@NV-dk3jz,2024-02-02T18:16:29Z
Paisa kamane ka acha tarika hai,[],@user-sn9zg9lg8o,2024-02-02T18:05:13Z
man stop calling him piyush its peyush ğŸ˜­,[],@anishtaklikar8047,2024-02-02T18:03:33Z
